Target,Output
50.70000,50.86260
50.70000,50.24715
50.70000,51.36198
50.70000,51.06792
50.70000,50.71449
50.70000,50.87211
50.70000,50.96884
50.70000,51.21827
50.70000,51.17402
50.70000,50.72736
50.70000,51.32724
50.70000,51.34681
50.70000,51.22363
50.70000,51.07011
50.70000,50.81811
50.70000,50.77298
50.70000,51.02442
50.70000,50.80921
50.70000,50.99672
50.70000,50.78231
50.70000,50.52805
50.70000,50.99318
50.70000,51.03501
50.70000,51.44965
50.70000,51.07861
50.70000,50.66101
50.70000,51.00212
50.70000,50.46813
50.70000,50.66254
50.70000,51.14195
50.70000,51.00314
50.70000,51.24057
50.70000,50.83178
50.70000,50.37542
50.70000,51.26878
50.70000,50.94808
50.70000,51.09011
50.70000,51.36051
50.70000,51.66117
50.70000,51.34042
61.00000,60.54642
61.00000,60.56002
61.00000,60.81084
61.00000,60.43469
61.00000,60.30057
61.00000,60.66605
61.00000,60.44925
61.00000,60.76463
61.00000,60.56982
61.00000,60.75373
61.00000,60.66720
61.00000,60.87465
61.00000,60.56644
61.00000,60.95120
61.00000,60.89951
61.00000,60.61325
61.00000,60.90490
61.00000,59.92007
61.00000,60.55818
61.00000,61.08951
61.00000,60.92138
61.00000,60.15300
61.00000,60.38628
60.70000,61.32604
60.70000,61.12707
60.70000,60.75338
60.70000,60.33316
60.70000,61.08047
60.70000,61.20498
60.70000,61.41506
60.70000,61.23551
60.70000,61.07647
60.70000,61.03383
60.70000,60.47406
60.70000,60.77621
60.70000,60.20543
60.70000,60.86732
60.70000,60.82141
60.70000,60.68948
60.70000,60.33469
60.70000,60.72018
60.70000,60.42330
60.70000,60.82423
60.70000,60.34446
60.70000,60.56528
60.70000,60.59474
60.70000,60.73926
60.70000,60.72514
60.70000,60.87926
39.40000,39.45295
39.40000,39.62560
39.40000,39.66135
39.40000,39.60704
39.40000,39.55312
39.40000,39.51320
39.40000,39.56371
39.40000,39.59642
39.40000,39.32219
39.40000,39.60906
39.40000,39.49065
39.40000,39.62178
39.40000,39.41173
39.40000,39.49540
39.40000,39.33191
39.40000,39.48205
39.40000,39.44420
39.40000,39.45978
39.40000,39.54885
39.40000,39.44201
39.40000,39.34265
39.40000,39.80970
39.40000,39.44746
39.40000,39.53926
39.40000,39.79598
39.40000,39.52313
39.40000,39.69215
39.40000,39.56537
39.40000,39.68472
39.40000,39.50786
39.40000,39.73775
39.40000,39.63488
39.40000,39.44715
39.40000,39.71882
39.40000,39.40797
39.40000,39.31789
39.40000,39.52226
39.40000,39.47038
39.40000,39.60671
39.40000,39.49441
39.40000,39.83951
39.40000,39.47089
39.40000,39.11421
26.10000,26.15296
26.10000,26.22596
26.10000,26.20638
26.10000,26.30913
26.10000,26.42418
26.10000,26.33125
26.10000,26.49180
26.10000,26.36568
26.10000,26.55219
26.10000,26.15498
26.10000,26.47334
26.10000,25.94911
26.10000,26.45172
26.10000,26.45188
26.10000,26.24246
26.10000,26.21960
26.10000,25.78964
26.10000,26.67519
26.10000,26.68703
26.10000,26.18271
26.10000,26.17307
26.10000,26.38163
26.10000,26.18601
26.10000,25.80333
26.10000,26.03373
26.10000,26.04836
26.10000,26.06416
26.10000,26.14434
26.10000,25.61532
26.10000,26.15078
26.10000,26.15828
26.10000,25.63191
26.10000,26.17208
26.10000,26.09851
27.60000,28.58726
27.60000,28.17401
27.60000,28.34930
27.60000,28.01951
27.60000,28.13699
27.60000,28.16285
27.60000,28.27135
27.60000,28.15252
27.60000,27.94917
27.60000,27.99657
27.60000,28.30227
27.60000,28.50302
27.60000,28.38445
27.60000,27.52762
27.60000,27.96123
27.60000,28.07627
27.60000,27.97774
27.60000,28.17584
27.60000,28.07310
27.60000,27.84476
27.60000,27.86286
27.60000,27.86019
27.60000,27.85944
27.60000,27.46314
76.20000,76.91623
76.20000,76.82920
76.20000,76.60059
76.20000,76.60639
76.20000,76.31145
76.20000,75.89610
76.20000,76.24238
76.20000,75.65269
76.20000,76.10764
76.20000,76.16229
76.20000,76.14112
76.20000,76.47259
57.10000,56.81645
57.10000,56.93693
57.10000,56.93129
57.10000,56.79455
57.10000,57.12467
57.10000,56.78279
57.10000,56.83550
57.10000,56.78157
57.10000,56.87802
57.10000,56.90312
57.10000,56.72225
57.10000,56.88447
53.20000,51.10105
53.20000,52.30760
53.20000,52.04955
53.20000,52.19224
53.20000,52.00782
53.20000,52.03100
53.20000,52.27555
53.20000,52.27489
53.20000,52.26212
53.20000,52.27762
53.20000,52.00411
60.20000,58.78598
60.20000,58.48665
60.20000,58.31571
60.20000,58.01573
73.00000,73.11086
73.00000,72.98258
73.00000,73.14569
73.00000,73.09969
73.00000,73.26650
73.00000,72.92819
73.00000,72.99109
73.00000,73.00581
73.00000,73.07350
73.00000,73.06654
73.00000,73.04733
73.00000,72.90685
73.00000,73.00308
73.00000,72.97909
73.00000,72.96578
73.00000,73.13872
73.00000,72.83685
73.00000,72.86134
73.00000,72.89842
73.00000,73.04307
73.00000,72.97296
73.00000,73.05391
73.00000,73.21176
73.00000,73.27608
62.60000,63.21954
62.60000,63.17451
51.20000,53.27299
51.20000,53.19565
51.20000,53.08998
51.20000,52.89721
51.20000,53.17239
51.20000,53.11393
51.20000,53.34973
51.20000,53.37704
51.20000,53.24209
51.20000,53.18896
51.20000,53.09442
51.20000,53.30608
51.20000,53.24525
51.20000,53.39540
51.20000,53.26721
51.20000,53.22852
51.20000,53.23071
51.20000,53.14666
51.20000,53.02781
47.00000,47.46259
47.00000,47.13105
47.00000,47.47650
47.00000,46.93017
47.00000,47.54724
47.00000,47.15207
47.00000,47.44234
47.00000,47.45620
47.00000,47.46977
47.00000,46.87050
47.00000,47.25608
47.00000,46.99936
47.00000,47.12654
47.00000,46.58476
47.00000,47.43460
47.00000,47.22365
47.00000,47.32236
47.00000,47.93800
47.00000,47.15828
47.00000,46.88379
47.00000,47.44130
