Target,Output
50.70000,48.89488
50.70000,49.92699
50.70000,48.43487
50.70000,48.50817
50.70000,49.04955
50.70000,48.97152
50.70000,48.76035
50.70000,48.43031
50.70000,48.26089
50.70000,49.05562
50.70000,48.23175
50.70000,48.32456
50.70000,48.46851
50.70000,48.55548
50.70000,48.89167
50.70000,48.68895
50.70000,48.42357
50.70000,48.84925
50.70000,48.29780
50.70000,48.73232
50.70000,49.08592
50.70000,48.33927
50.70000,48.47748
50.70000,49.06624
50.70000,48.79443
50.70000,48.95002
50.70000,49.15742
50.70000,49.73340
50.70000,49.08573
50.70000,49.24091
50.70000,48.51578
50.70000,48.24912
50.70000,48.43165
50.70000,49.34786
50.70000,47.74150
50.70000,48.23790
50.70000,48.17505
50.70000,48.11497
50.70000,48.82607
50.70000,47.98048
61.00000,61.27477
61.00000,62.08153
61.00000,61.39256
61.00000,61.39414
61.00000,61.36522
61.00000,61.27277
61.00000,61.47756
61.00000,61.15333
61.00000,61.41261
61.00000,61.09696
61.00000,61.27534
61.00000,61.11724
61.00000,61.37132
61.00000,61.50849
61.00000,61.24082
61.00000,61.63466
61.00000,61.26332
61.00000,62.26306
61.00000,61.37866
61.00000,61.11538
61.00000,61.34698
61.00000,61.97958
61.00000,61.77614
60.70000,60.51258
60.70000,58.63262
60.70000,59.25372
60.70000,61.05132
60.70000,60.01836
60.70000,59.98209
60.70000,59.73317
60.70000,61.26768
60.70000,60.02093
60.70000,60.44644
60.70000,60.45967
60.70000,59.36718
60.70000,61.77036
60.70000,60.90883
60.70000,59.54896
60.70000,60.17400
60.70000,61.06147
60.70000,59.66167
60.70000,60.82236
60.70000,59.53097
60.70000,61.10503
60.70000,60.20960
60.70000,60.33982
60.70000,59.75459
60.70000,59.69895
60.70000,59.19459
39.40000,39.53974
39.40000,38.92300
39.40000,38.50114
39.40000,38.89385
39.40000,38.87304
39.40000,39.50867
39.40000,39.11476
39.40000,39.80142
39.40000,40.12173
39.40000,39.16958
39.40000,39.44359
39.40000,39.17234
39.40000,39.81458
39.40000,39.44908
39.40000,40.17048
39.40000,39.41959
39.40000,39.81206
39.40000,39.85119
39.40000,39.52108
39.40000,39.77585
39.40000,40.11764
39.40000,38.58036
39.40000,39.85749
39.40000,39.52729
39.40000,38.47058
39.40000,39.46951
39.40000,38.75464
39.40000,39.53379
39.40000,38.77178
39.40000,39.45935
39.40000,38.92589
39.40000,39.15932
39.40000,39.79017
39.40000,38.81194
39.40000,39.74079
39.40000,40.17188
39.40000,39.52573
39.40000,39.47209
39.40000,39.23577
39.40000,39.37986
39.40000,38.08846
39.40000,39.42188
39.40000,41.19474
26.10000,28.27486
26.10000,27.98946
26.10000,28.01272
26.10000,27.72223
26.10000,27.38243
26.10000,27.69174
26.10000,27.36374
26.10000,28.21927
26.10000,27.54644
26.10000,28.30106
26.10000,27.27271
26.10000,29.06061
26.10000,27.38465
26.10000,27.42054
26.10000,28.02106
26.10000,27.95405
26.10000,29.70504
26.10000,27.18964
26.10000,30.17817
26.10000,28.35486
26.10000,28.36935
26.10000,27.70136
26.10000,28.62394
26.10000,29.29989
26.10000,30.16407
26.10000,28.62453
26.10000,28.64483
26.10000,28.31893
26.10000,29.98675
26.10000,28.40348
26.10000,28.34368
26.10000,30.09326
26.10000,28.40779
26.10000,29.85251
27.60000,25.22730
27.60000,26.59122
27.60000,25.84053
27.60000,26.78044
27.60000,26.48708
27.60000,26.54903
27.60000,26.05915
27.60000,26.44539
27.60000,27.07467
27.60000,27.05329
27.60000,26.07175
27.60000,25.46052
27.60000,25.79609
27.60000,28.35355
27.60000,27.17281
27.60000,26.76040
27.60000,27.07591
27.60000,26.45269
27.60000,26.78098
27.60000,27.39700
27.60000,27.39039
27.60000,27.44798
27.60000,27.39189
27.60000,28.91044
76.20000,75.55268
76.20000,75.94131
76.20000,76.53168
76.20000,76.73125
76.20000,78.38555
76.20000,81.28491
76.20000,80.07877
76.20000,82.03168
76.20000,79.75547
76.20000,81.30189
76.20000,82.24690
76.20000,79.11601
57.10000,59.34230
57.10000,59.33302
57.10000,60.70311
57.10000,59.72814
57.10000,61.24126
57.10000,62.71294
57.10000,62.71703
57.10000,63.37215
57.10000,62.00763
57.10000,61.55649
57.10000,61.94794
57.10000,61.36500
53.20000,58.60326
