Target, Output
50.70000, 49.60627
50.70000, 50.93007
50.70000, 48.70464
50.70000, 49.04983
50.70000, 49.86152
50.70000, 49.68654
50.70000, 49.40372
50.70000, 48.82597
50.70000, 48.66481
50.70000, 49.85732
50.70000, 48.47087
50.70000, 48.57004
50.70000, 48.86958
50.70000, 49.10811
50.70000, 49.64759
50.70000, 49.45838
50.70000, 49.00047
50.70000, 49.60730
50.70000, 48.87759
50.70000, 49.49912
50.70000, 50.00191
50.70000, 48.93482
50.70000, 49.05506
50.70000, 49.44029
50.70000, 49.39588
50.70000, 49.79768
50.70000, 49.84017
50.70000, 50.67725
50.70000, 49.94549
50.70000, 49.86456
50.70000, 49.14262
50.70000, 48.65171
50.70000, 49.16377
50.70000, 50.33997
50.70000, 47.99207
50.70000, 48.86670
50.70000, 48.68131
50.70000, 48.36819
50.70000, 48.98491
50.70000, 48.20567
61.00000, 61.31421
61.00000, 62.24662
61.00000, 61.05332
61.00000, 61.63852
61.00000, 61.76018
61.00000, 61.16633
61.00000, 61.71412
61.00000, 60.85196
61.00000, 61.45930
61.00000, 60.80067
61.00000, 61.16446
61.00000, 60.56296
61.00000, 61.39191
61.00000, 60.91513
61.00000, 60.63553
61.00000, 61.63988
61.00000, 60.64948
61.00000, 63.00681
61.00000, 61.47106
61.00000, 60.02756
61.00000, 60.72619
61.00000, 62.51651
61.00000, 62.05846
60.70000, 60.78815
60.70000, 58.98897
60.70000, 59.83533
60.70000, 61.61033
60.70000, 60.44909
60.70000, 60.35007
60.70000, 60.00459
60.70000, 61.55138
60.70000, 60.43856
60.70000, 60.83824
60.70000, 61.02754
60.70000, 59.91897
60.70000, 62.25098
60.70000, 61.33263
60.70000, 60.07974
60.70000, 60.70345
60.70000, 61.61692
60.70000, 60.25669
60.70000, 61.38502
60.70000, 60.08475
60.70000, 61.65146
60.70000, 60.80000
60.70000, 60.90575
60.70000, 60.32670
60.70000, 60.27782
60.70000, 59.73613
39.40000, 40.03753
39.40000, 39.54469
39.40000, 39.21294
39.40000, 39.52336
39.40000, 39.51164
39.40000, 40.00758
39.40000, 39.69691
39.40000, 40.23118
39.40000, 40.49882
39.40000, 39.73603
39.40000, 39.95810
39.40000, 39.73717
39.40000, 40.25332
39.40000, 39.96211
39.40000, 40.53642
39.40000, 39.94002
39.40000, 40.24845
39.40000, 40.27790
39.40000, 40.01413
39.40000, 40.22017
39.40000, 40.49389
39.40000, 39.26244
39.40000, 40.28404
39.40000, 40.01982
39.40000, 39.17698
39.40000, 39.97564
39.40000, 39.40589
39.40000, 40.02274
39.40000, 39.42010
39.40000, 39.96906
39.40000, 39.53694
39.40000, 39.72581
39.40000, 40.23098
39.40000, 39.44890
39.40000, 40.19542
39.40000, 40.53891
39.40000, 40.02013
39.40000, 39.98253
39.40000, 39.78861
39.40000, 39.90746
39.40000, 38.87582
39.40000, 39.94285
39.40000, 41.34933
26.10000, 29.89514
26.10000, 29.65934
26.10000, 29.67704
26.10000, 29.43636
26.10000, 29.15763
26.10000, 29.41330
26.10000, 29.14409
26.10000, 29.83369
26.10000, 29.28336
26.10000, 29.91507
26.10000, 29.07475
26.10000, 30.52892
26.10000, 29.15963
26.10000, 29.18691
26.10000, 29.68337
26.10000, 29.63240
26.10000, 31.05200
26.10000, 28.99184
26.10000, 31.32330
26.10000, 29.95581
26.10000, 29.96693
26.10000, 29.42079
26.10000, 30.16074
26.10000, 30.72890
26.10000, 31.38289
26.10000, 30.17939
26.10000, 30.19465
26.10000, 29.92876
26.10000, 31.28448
26.10000, 29.99311
26.10000, 29.94750
26.10000, 31.36531
26.10000, 29.99622
26.10000, 31.13004
27.60000, 26.28903
27.60000, 27.44979
27.60000, 26.81595
27.60000, 27.61635
27.60000, 27.36682
27.60000, 27.41659
27.60000, 27.01687
27.60000, 27.33707
27.60000, 27.86954
27.60000, 27.85655
27.60000, 27.03011
27.60000, 26.50394
27.60000, 26.78787
27.60000, 28.93532
27.60000, 27.94496
27.60000, 27.60653
27.60000, 27.87250
27.60000, 27.34513
27.60000, 27.62186
27.60000, 28.13950
27.60000, 28.13548
27.60000, 28.17917
27.60000, 28.13646
27.60000, 29.38120
76.20000, 75.66701
76.20000, 76.00402
76.20000, 76.52042
76.20000, 76.68205
76.20000, 78.11099
76.20000, 80.49959
76.20000, 79.50003
76.20000, 81.11240
76.20000, 79.24216
76.20000, 80.48875
76.20000, 81.24636
76.20000, 78.70131
57.10000, 59.11253
57.10000, 59.12827
57.10000, 60.15727
57.10000, 59.42306
57.10000, 60.52489
57.10000, 61.66460
57.10000, 61.65408
57.10000, 62.16304
57.10000, 61.10052
57.10000, 60.78067
57.10000, 61.09263
57.10000, 60.61522
53.20000, 55.36054
53.20000, 51.80190
53.20000, 52.54825
53.20000, 51.61888
53.20000, 51.98737
53.20000, 52.44832
53.20000, 52.43330
53.20000, 52.09070
53.20000, 52.80094
53.20000, 52.51997
53.20000, 53.09496
60.20000, 54.95944
60.20000, 54.18153
60.20000, 55.17921
60.20000, 55.54972
73.00000, 77.80778
73.00000, 78.29351
73.00000, 77.24366
73.00000, 77.50018
73.00000, 76.59179
73.00000, 78.40193
73.00000, 77.85252
73.00000, 78.42617
73.00000, 77.41522
73.00000, 78.00027
73.00000, 77.74351
73.00000, 78.57306
73.00000, 78.60890
73.00000, 78.93373
73.00000, 78.42779
73.00000, 76.92796
73.00000, 78.88432
73.00000, 78.97567
73.00000, 79.05090
73.00000, 77.81272
73.00000, 77.98807
73.00000, 77.50412
73.00000, 78.28593
73.00000, 77.58498
62.60000, 69.04130
62.60000, 69.34503
51.20000, 55.17755
51.20000, 56.20788
51.20000, 57.35171
51.20000, 59.87842
51.20000, 56.32479
51.20000, 56.95988
51.20000, 56.42017
51.20000, 56.55439
51.20000, 55.88358
51.20000, 56.20001
51.20000, 56.64499
51.20000, 55.60048
51.20000, 55.93512
51.20000, 54.86471
51.20000, 55.61481
51.20000, 55.85964
51.20000, 55.84822
51.20000, 56.74067
51.20000, 57.45744
47.00000, 46.49053
47.00000, 47.26144
47.00000, 46.66186
47.00000, 47.94861
47.00000, 46.05716
47.00000, 47.31531
47.00000, 46.43723
47.00000, 46.50986
47.00000, 46.51573
47.00000, 48.29168
47.00000, 47.91766
47.00000, 47.37706
47.00000, 47.18653
47.00000, 48.51104
47.00000, 46.38111
47.00000, 46.95266
47.00000, 46.70101
47.00000, 45.69175
47.00000, 48.10930
47.00000, 47.56323
47.00000, 46.43289
47.00000, 46.45689
47.00000, 46.69884
47.10000, 45.73891
47.10000, 45.52857
47.10000, 46.19318
47.10000, 46.10624
47.10000, 47.92979
47.10000, 47.35249
47.10000, 46.09185
47.10000, 46.18404
47.10000, 47.98431
47.10000, 44.88754
47.10000, 45.39532
47.10000, 45.54781
47.10000, 47.08659
47.10000, 46.71382
47.10000, 45.74636
47.10000, 45.05767
47.10000, 45.72457
47.10000, 46.54431
47.10000, 46.66231
47.10000, 45.82434
47.10000, 46.47443
47.10000, 46.77912
47.10000, 46.11582
47.10000, 45.72893
47.10000, 45.61506
47.10000, 46.02070
47.10000, 45.01802
47.10000, 46.39171
48.90000, 50.45869
48.90000, 50.44332
48.90000, 51.31438
48.90000, 50.51255
48.90000, 50.82697
48.90000, 50.11883
48.90000, 50.32594
48.90000, 50.82917
48.90000, 50.28027
48.90000, 51.52889
48.90000, 49.94871
48.90000, 50.86367
48.90000, 51.84745
48.90000, 50.07705
48.90000, 52.96804
48.90000, 51.44578
48.90000, 49.64152
48.90000, 51.07334
48.90000, 51.50065
68.30000, 68.04996
68.30000, 69.69109
68.30000, 68.44651
68.30000, 69.18984
68.30000, 69.21505
68.30000, 69.44312
68.30000, 69.47249
68.30000, 70.76030
68.30000, 70.34534
68.30000, 69.95940
68.30000, 69.87043
68.30000, 69.58534
68.30000, 69.52168
68.30000, 70.48221
68.30000, 69.76377
68.30000, 70.21209
68.30000, 69.44268
68.30000, 70.16986
68.30000, 69.66579
68.30000, 68.77426
44.10000, 43.72701
44.10000, 43.65600
44.10000, 43.95464
44.10000, 43.89496
44.10000, 44.50073
44.10000, 44.96609
44.10000, 44.93931
44.10000, 44.67559
44.10000, 45.83313
44.10000, 44.51032
44.10000, 44.17442
44.10000, 45.34604
44.10000, 44.25024
44.10000, 44.50496
44.10000, 45.08094
44.10000, 45.13958
44.10000, 44.84482
44.10000, 45.50240
44.10000, 46.74502
44.10000, 45.07783
44.10000, 45.99869
44.10000, 43.98765
44.10000, 45.18428
44.10000, 44.85103
44.10000, 46.40543
34.80000, 34.14388
34.80000, 35.01373
34.80000, 34.68161
34.80000, 36.48192
34.80000, 34.67871
34.80000, 34.27200
34.80000, 34.50408
34.80000, 35.42537
34.80000, 35.53253
